Address,City,State,Zip Code,Bath,Bed,House Type,Sold Price,Sqft,Year Build
675 Prentiss St, San Francisco,CA,94110,1.0,3.0,Single Family Residence,1150000.0,1204.0,1959
936 Olmstead St, San Francisco,CA,94134,1.0,2.0,Single Family Residence,1100000.0,1016.0,1952
1880 Steiner St #409, San Francisco,CA,94115,2.0,2.0,Condominium,1261000.0,983.0,1999
259 Wilson St, San Francisco,CA,94112,1.0,2.0,Single Family Residence,875000.0,880.0,1914
501 Crescent Way #5212, San Francisco,CA,94134,2.0,2.0,Condominium,760000.0,875.0,2006
451 Stoneridge Ln #3102, San Francisco,CA,94134,2.0,2.0,Condominium,750000.0,1068.0,1996
115 Colby St, San Francisco,CA,94134,3.0,3.0,Single Family Residence,1750000.0,1715.0,1970
643 40th Ave, San Francisco,CA,94121,1.5,3.0,Single Family Residence,1610000.0,1448.0,1924
1055 Gilman Ave, San Francisco,CA,94124,1.0,2.0,Single Family Residence,800000.0,950.0,1908
1863 Pine St, San Francisco,CA,94109,1.5,3.0,Single Family Residence,1485000.0,1390.0,1900
647 34th Ave, San Francisco,CA,94121,3.0,4.0,Single Family Residence,2065000.0,2432.0,1926
210 Rose St, San Francisco,CA,94102,1.0,2.0,Condominium,1102101.0,859.0,1900
635 42nd Ave, San Francisco,CA,94121,4.5,4.0,Single Family Residence,2900000.0,2518.0,1923
659 26th Ave, San Francisco,CA,94121,3.5,3.0,Single Family Residence,1880000.0,2038.0,1913
80 Miraloma Dr, San Francisco,CA,94127,3.0,4.0,Single Family Residence,2200000.0,2984.0,1960
2426 Santiago St, San Francisco,CA,94116,2.0,3.0,Single Family Residence,1500000.0,1646.0,1940
28 Nebraska St, San Francisco,CA,94110,2.0,4.0,Single Family Residence,1785000.0,1758.0,1926
278 Thrift St, San Francisco,CA,94112,2.0,3.0,Single Family Residence,995000.0,1293.0,1960
4040 Balboa St #3, San Francisco,CA,94121,1.0,2.0,Condominium,729000.0,670.0,1998
371 Wilde Ave, San Francisco,CA,94134,1.0,2.0,Single Family Residence,975000.0,1027.0,1951
8200 Oceanview Ter #121, San Francisco,CA,94132,2.0,3.0,Condominium,830000.0,1186.0,2002
722 37th Ave, San Francisco,CA,94121,2.5,3.0,Single Family Residence,1640000.0,1700.0,1939
73 Dolores Ter, San Francisco,CA,94110,2.5,3.0,Townhouse,1980000.0,1548.0,1998
1887 42nd Ave, San Francisco,CA,94122,2.0,3.0,Single Family Residence,1000000.0,1289.0,1944
2346 Clement St #1, San Francisco,CA,94121,2.5,2.0,Condominium,1050000.0,1265.0,2002
149 Bertita St, San Francisco,CA,94112,1.0,1.0,Single Family Residence,850000.0,988.0,1918
1318 Larkin St, San Francisco,CA,94109,1.5,3.0,Condominium,1174000.0,1820.0,1908
179 Tucker Ave, San Francisco,CA,94134,1.0,2.0,Single Family Residence,1002616.0,1040.0,1951
95 Red Rock Way #102M, San Francisco,CA,94131,1.0,1.0,Condominium,675000.0,830.0,1972
2186 34th Ave, San Francisco,CA,94116,2.0,5.0,Single Family Residence,1460000.0,1900.0,1948
35 Cityview Way, San Francisco,CA,94131,4.0,4.0,Single Family Residence,2130000.0,2088.0,1955
675 Prentiss St, San Francisco,CA,94110,1.0,3.0,Single Family Residence,1150000.0,1204.0,1959
936 Olmstead St, San Francisco,CA,94134,1.0,2.0,Single Family Residence,1100000.0,1016.0,1952
1880 Steiner St #409, San Francisco,CA,94115,2.0,2.0,Condominium,1261000.0,983.0,1999
259 Wilson St, San Francisco,CA,94112,1.0,2.0,Single Family Residence,875000.0,880.0,1914
